BKBK,咸阳,漫威10周年！ 向漫威宇宙致敬！,4.5,2018-05-12 15:40:39
luuiyan,潍坊,巨作，注定经典！,5.0,2018-05-12 09:53:51
rebeccaspark,南京,挺可爱的 都挺可爱的！尤其是星爵和索尔！,4.0,2018-05-11 23:39:34
爱浪的梦,北京,挺棒的爆米花娱乐大片！特效+搞笑都挺完美～想当年看零点首映前喝了顿酒…结果连龙标都没看见…第二天乖乖买票又补上了～嗯，今天在家又看一遍高清～期待第三部～,4.0,2018-03-22 13:20:17
华鎔,天台,漫威宇宙扛鼎之作，奠定了整个漫威宇宙的基础,4.0,2018-03-08 05:23:13
逗逼男神,上海,循序渐进的剧情和视觉盛宴的特效相搭配，在激燃的战斗中加入诙谐幽默的元素。每个超级英雄都有自己的故事，而将性格分明的人们整合成团队，也经历了分歧、磨合，直到成长及配合！结尾的纽约之战甚至泛着悲壮的史诗科幻战争风格。,4.0,2018-03-08 00:32:01
Bryan·M,广州,复联3观影准备： 多个角色同屏组团开黑，怎么一个“爽”字得了？！文戏稍累赘了些，探员小哥挂掉心都碎了。但是特效和大场面都超乎想象啊，看IMAX版绝对是极致体验。斯坦李客串被采访的老人（视频中）片尾彩蛋灭霸初现身，预示漫威宇宙真正意义上正式开启。二号彩蛋好像是剧组搞笑的吧，复仇者们围在一起面如死灰般地吃饭（特别是黑寡妇和雷神的表情直接让人半夜尖笑😂😂😂）。4.5星。,4.5,2018-03-02 02:34:55
硬核班长,北京,漫威越来越需要逗比来解决剧情上的不合理，同时为了分担粉丝压力需要权衡每一个英雄的拍摄前提也让这部电影走上了下坡路。,3.0,2018-02-25 13:12:21
Qfz684420515,宁波,超级好看。无与伦比,5.0,2018-02-22 10:06:32
QYH279844495,宁波,我从小到大一直在看这一种片子一一步都没错过，而且我觉得这种打打杀杀的片子让我看着非常舒服，只是有时候我觉得他们再见弄来弄去在我的面前感觉自己的眼睛不要笑出来了。,5.0,2018-02-20 22:13:07
Louise,包头,看过美国队长之后爱上了漫威的电影，补看了复联，绿巨人狂甩洛基那里，承担了整部剧的笑点，还是最爱美国队长和黑寡妇……,4.0,2018-02-20 21:52:36
Foxlee,台州,比2好看，有笑点,4.5,2018-02-10 10:33:26
Desenlace,信阳,很棒 很赞🐣,5.0,2018-02-06 22:46:10
四方嘴g,芷江,😘（花痴ing）洛基好帅，妮妮好帅！,5.0,2018-02-06 21:51:59
清平乐cj,上海,漫威宇宙英雄大集结，这部里面有一共六位超级英雄，看来漫威是不折不扣准备继续在英雄大集结及个人英雄传记上走下去，而且越走越带劲，还带来了好多粉丝及爱好者，科幻特效大集结真的让人欲罢不能，这是第一部也称为第一阶段，看来这个头阵还是打的非常不错，两个彩蛋尤其是第一个还是预告了接下来的走向！,4.0,2018-02-01 14:56:12
蕻博,襄阳,炒鸡喜欢漫威英雄联盟系列。,4.0,2018-01-23 15:48:25
Pandora,青岛,完美，我喜欢钢铁侠的开始，对得起世界第五的位置了。,5.0,2018-01-14 15:45:48
JasonYu35,上海,堪称完美的超级英雄电影。剧情、角色、特效都十分棒。整场电影看下来没有一刻走神。影视历史上最棒的一部杰作!,5.0,2018-01-10 18:42:25
GLF200266607,达拉特旗,一次颠覆性的超级英雄电影，第一次看真的震撼到我了。,5.0,2017-07-22 16:18:36
大吃大悲,无锡,作为电影宇宙开拓的先锋，给个高分,4.0,2017-06-25 16:51:14
劉健濤,瑞昌,美队好像比以前弱了,5.0,2017-06-17 13:33:42
qzuser,荣成,红女巫胸不小啊,4.5,2017-06-15 20:47:20
danis4lllll,大连,高三的时候看的最好的电影！,5.0,2017-05-27 20:19:14
仅是歪理,天津,又一部看过就忘的漫威电影，只能说，场景还算震撼。故事嘛，嘿嘿嘿…,3.5,2017-05-20 16:57:13
开飞机的舒克,北京,很经典！不得不说,4.0,2017-05-09 09:56:15
DaweiLiu0813,济南,还不错，英雄差不多都全了,4.0,2017-04-19 01:08:03
Fearless听风,北京,在当时看完时候还是挺好看的,4.0,2017-04-18 00:23:24
Gilgamesh,北京,超燃，经典之作,5.0,2017-04-05 23:33:19
Ptb421927062,郑州,非常棒的一部英雄巨作！,4.5,2017-04-02 20:40:04
网名很俗,齐齐哈尔,很好看，复仇者集结,4.0,2017-04-01 22:00:05
大白白,呼和浩特,喜欢几个男人之间的情谊！,5.0,2017-02-24 23:37:04
iwannaseeeyou,上海,一开始黑乎乎，之后就很棒,4.5,2017-02-24 02:25:23
Yunyun,广州,漫威作品 必须好看,5.0,2017-02-14 22:53:59
HeavenSherlock,,成功地将之前搬上荧幕的超级英雄串联在一起  挺帅的,4.5,2016-07-18 17:13:55
境随心转_wj,,好看，最搞笑的是绿胖虐洛基，真的不喜欢洛基,4.0,2016-07-16 11:34:11
偶系高羊羊,天津,cool...,4.5,2016-07-11 21:59:18
有些遇见,济源,很好啊！非常不错。,4.5,2016-07-10 22:58:39
喵星来客,,还是第一部好看,4.0,2016-06-26 09:57:04
