玍念,厦门,被队长的正直善良打动，丢假手榴弹的时候队长的表现让人觉得这才是真男人，队长不顾一切去救自己的朋友，在故事结尾，队长知道自己睡了70年后的第一反应是说我还有一个约会，为这样的爱情心醉，太催泪，喜欢卡特特工，队长真的好帅啊，喜欢复古风,4.5,2016-05-13 11:40:38
金智秀宇宙最乖,,美队啥时候学的开飞机。,5.0,2016-05-12 02:24:17
碎塔,富阳,好长的预告片啊！,3.0,2016-05-11 00:33:41
大鸟,,最爱美国队长,5.0,2016-05-10 22:17:15
zhuangalu,,期待第二部！,3.5,2016-05-09 00:41:32
Dream残阳,,中规中矩一般，还可以,4.0,2016-05-08 11:27:57
羊小昕呆呆___yes,上海,还不错吧，至少看完不尴尬。场面过瘾，逻辑通顺。,3.0,2016-03-13 11:55:23
林火钩沉,北京,还可以吧，剧情比2要好,3.5,2016-03-12 12:23:02
Aurora,,心中充满正义的人，他的女朋友真的非常性感漂亮，就算跟寡姐比也相当不逊色，她身上有一种传统军人沉淀的气质。好看！,5.0,2016-03-11 12:46:13
ICYY,,漫威风格早已习惯 也就这样吧,4.0,2016-02-20 11:59:48
超哥,,美国队长登场！,4.0,2016-02-18 19:04:20
没有什么能永垂不朽,,所有的复仇者联盟中最喜欢美队了  他就是精神寄托  电影真心很棒,5.0,2016-02-13 01:00:22
百友目大,,无聊队长,3.5,2016-02-04 21:19:25
xu1991cui,北京,美国电影的系列作品不会给人跳戏和莫名其妙的感觉，赞,4.5,2016-02-01 20:56:04
Nageyyyyy,,真的挺好看的,4.5,2016-01-30 11:01:22
JARED77,深圳,美国队长帅到阿妈都不认得！！,5.0,2016-01-24 17:34:53
bluemood0230,惠州,年代感满满，正义的队长！Peggy美丽的大红唇,4.5,2016-01-15 23:51:26
shanchorcho,广州,古老的画风，英雄片来说有点接受不了,3.5,2016-01-14 22:57:56
Chandelierrrrrr,苏州,美队和盾佩简直不要太虐,4.0,2016-01-06 09:36:42
田各,,基情诞生的由来。哈哈。,3.5,2016-01-05 14:08:10
熊大爱小堂,,一般吧，用猫眼网友的话来说，一部郭敬明变身史泰龙勇敢上阵杀敌的故事！还是美国个人英雄主义的电影，身材瘦小却心系国家，终于等到报国机会……看过太多美国大片，这个只能说是一般！刀枪不入的盾牌，一身星条服，超越常人的体能和战斗力，这就是美国队长。,3.5,2016-01-01 09:23:16
拆拆,苏州,被peggy和美队的爱情感动到了TUT很心疼，到最后的那支舞都没有实现😩,5.0,2015-11-29 22:59:07
萝林兰幽,启东,队长穿军装的样子简直帅呆了,4.5,2015-11-29 22:32:29
悦芽儿JY,包头,美国队长，一个负责英雄的英雄形象。高大，威猛，总是那么的无所畏惧！,3.0,2015-11-29 21:52:22
不一定,北京,许多女主因为妆跟现实都不一样 还是喜欢妆那样的,3.5,2015-11-29 19:29:24
姞薆炫俪,南宁,美国队长也是美国家喻户晓的超级英雄之一，本片毫无意外的体现了男主角的个人英雄主义，剧情还算不错，期待第二部！,4.0,2015-11-29 19:26:02
